paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,Stage,track,Social Good Topics at ACL 2020,UN 6 goals,country of the first author,affiliaton of the first author,if first author is supported by companies,author
Speak to your Parser: Interactive Text-to-SQL with Natural Language Feedback,2,semantic parsing; interpretability,,,US,University of Maryland,Microsoft,"Ahmed Elgohary, Saghar Hosseini and Ahmed Hassan Awadallah"
A Graph-based Coarse-to-fine Method for Unsupervised Bilingual Lexicon Induction,2,machine translation,,,China,Beihang University,Microsoft,"Shuo Ren, Shujie Liu, Ming Zhou and Shuai Ma"
Iterative Edit-Based Unsupervised Sentence Simplification,3,simplification,,,Canada,University of Waterloo,N,"Dhruv Kumar, Lili Mou, Lukasz Golab and Olga Vechtomova"
Measuring Forecasting Skill from Text,3,forecasting,,,US,Ohio State University,N,"Shi Zong, Alan Ritter and Eduard Hovy"
Towards Interpretable Clinical Diagnosis with Bayesian Network Ensembles Stacked on Entity-Aware CNNs,4,interpretability; healthcare,interpretability; healthcare,health and wellbeing,China,Baidu,Baidu,"Jun Chen, Xiaoya Dai, Quan Yuan, Chao Lu and Haifeng Huang"
Don’t Say That! Making Inconsistent Dialogue Unlikely with Unlikelihood Training,3,dialog,,,US,Facebook,Facebook,"Margaret Li, Stephen Roller, Ilia Kulikov, Sean Welleck, Y-Lan Boureau, Kyunghyun Cho and Jason Weston"
TaBERT: Pretraining for Joint Understanding of Textual and Tabular Data,2,language modeling,,,US,Georgia Tech,Microsoft,"Pengcheng Yin, Graham Neubig, Wen-tau Yih and Sebastian Riedel"
Learning to Faithfully Rationalize by Construction,2,interpretability,interpretability,,US,Northeastern University,N,"Sarthak Jain, Sarah Wiegreffe, Yuval Pinter and Byron C. Wallace"
Hierarchical Modeling for User Personality Prediction: The Role of Message-Level Attention,4,personality prediction,,,US,Stony Brook University,N,"Veronica Lynn, Niranjan Balasubramanian and H. Andrew Schwartz"
An Online Semantic-enhanced Dirichlet Model for Short Text Stream Clustering,2,topic modeling,,,China,University of Electronic Science and Technology of China,N,"Jay Kumar, Junming Shao, Salah Uddin and Wazir Ali"
What are the Goals of Distributional Semantics?,2,semantic parsing,,,UK,University of Cambridge,N,Guy Emerson
Explaining Black Box Predictions and Unveiling Data Artifacts through Influence Functions,2,interpretability,interpretability,,US,CMU,N,"Xiaochuang Han, Byron C. Wallace and Yulia Tsvetkov"
Neural Syntactic Preordering for Controlled Paraphrase Generation,3,paraphrase,,,US,The University of Texas at Austin,N,Tanya Goyal and Greg Durrett
Finding Universal Grammatical Relations in Multilingual BERT,2,language modeling; interpretability,,,US,Stanford University,N,"Ethan A. Chi, John Hewitt and Christopher D. Manning"
Bilingual Dictionary Based Neural Machine Translation without Using Parallel Sentences,2,machine translation,,,China,Soochow University,N,"Xiangyu Duan, Baijun Ji, Hao Jia, Min Tan, Min Zhang, Boxing Chen, Weihua Luo and Yue Zhang"
Logical Natural Language Generation from Open-Domain Tables,3,data-to-text generation,,,US,UC Santa Barbara,N,"Wenhu Chen, Jianshu Chen, Yu Su, Zhiyu Chen and William Yang Wang"
DeSePtion: Dual Sequence Prediction and Adversarial Examples for Improved Fact-Checking,3,misinformation,misinformation,,US,Columbia University,Amazon,"Christopher Hidey, Tuhin Chakrabarty, Tariq Alhindi, Siddharth Varia, Kriste Krstovski, Mona Diab and Smaranda Muresan"
Semantic Scaffolds for Pseudocode-to-Code Generation,3,code,,,US,UCB,N,"Ruiqi Zhong, Mitchell Stern and Dan Klein"
On The Evaluation of Machine Translation SystemsTrained With Back-Translation,2,machine translation; metric,,,US,Facebook,Facebook,"Sergey Edunov, Myle Ott, Marc’Aurelio Ranzato and Michael Auli"
Premise Selection in Natural Language Mathematical Texts,2,math,,,UK,University of Manchester,N,Deborah Ferreira and André Freitas
The Summary Loop: Learning to Write Abstractive Summaries Without Examples,3,summarization,,,US,UCB,N,"Philippe Laban, Andrew Hsi, John Canny and Marti A. Hearst"
Multi-Label and Multilingual News Framing Analysis,4,misinformation,misinformation,,US,Boston University,N,"Afra Feyza Akyürek, Lei Guo, Randa Elanwar, Prakash Ishwar, Margrit Betke and Derry Tanti Wijaya"
Temporally-Informed Analysis of Named Entity Recognition,2,information extraction,,,US,CMU,N,Shruti Rijhwani and Daniel Preotiuc-Pietro
Null It Out: Guarding Protected Attributes by Iterative Nullspace Projection,2,word meaning,,,Israel,Bar Ilan University,N,"Shauli Ravfogel, Yanai Elazar, Hila Gonen, Michael Twiton and Yoav Goldberg"
Generating Fact Checking Explanations,3,misinformation; interpretability,misinformation; interpretability,,Denmark,University of Copenhagen,N,"Pepa Atanasova, Jakob Grue Simonsen, Christina Lioma and Isabelle Augenstein"
Attentive Pooling with Learnable Norms for Text Representation,2,text representation,,,China,Tsinghua University,N,"Chuhan Wu, Fangzhao Wu, Tao Qi, Xiaohui Cui and Yongfeng Huang"
Reasoning with Multimodal Sarcastic Tweets via Modeling Cross-Modality Contrast and Semantic Association,3,social media; inference,,,China,Chinese Academy of Sciences,N,"Nan Xu, Zhixiong Zeng and Wenji Mao"
Good-Enough Compositional Data Augmentation,2,data augmentation,,,US,MIT,N,Jacob Andreas
On the Limitations of Cross-lingual Encoders as Exposed by Reference-Free Machine Translation Evaluation,2,machine translation,,,Germany,Technische Universitat Darmstadt,N,"Wei Zhao, Goran Glavaš, Maxime Peyrard, Yang Gao, Robert West and Steffen Eger"
"Learning Interpretable Relationships between Entities, Relations and Concepts via Bayesian Structure Learning on Open Domain Facts",3,information extraction; interpretability,interpretability,,US,Baidu,Baidu,"Jingyuan Zhang, Mingming Sun, Yue Feng and Ping Li"
Jointly Masked Sequence-to-Sequence Model for Non-Autoregressive Neural Machine Translation,3,machine translation,,,China,University of Science and Technology of China,N,"Junliang Guo, Linli Xu and Enhong Chen"
ChartDialogs: Plotting from Natural Language Instructions,4,dialog; language grounding,,,US,UC San Diego,N,Yutong Shao and Ndapa Nakashole
Span Selection Pre-training for Question Answering,3,question answering,,,US,IBM,IBM,"Michael Glass, Alfio Gliozzo, Rishav Chakravarti, Anthony Ferritto, Lin Pan, G P Shrivatsa Bhargav, Dinesh Garg and Avi Sil"
Multidirectional Associative Optimization of Function-Specific Word Representations,2,word meaning,,,UK,University of Cambridge,PolyAI,"Daniela Gerz, Ivan Vulić, Marek Rei, Roi Reichart and Anna Korhonen"
Spying on your neighbors: Fine-grained probing of contextual embeddings for information about surrounding words,2,word meaning,,,US,CMU,N,Josef Klafka and Allyson Ettinger
Document Translation vs. Query Translation for Cross-Lingual Information Retrieval in the Medical Domain,4,information retrieval; healthcare,healthcare,,Czech,Charles University,N,Shadi Saleh and Pavel Pecina
Dynamic Online Conversation Recommendation,3,recommendation; dialog,,,Hong Kong,The Chinese University of Hong Kong,N,"Xingshan Zeng, Jing Li, Lu Wang, Zhiming Mao and Kam-Fai Wong"
Learning to Contextually Aggregate Multi-Source Supervision for Sequence Labeling,3,information extraction,,,US,University of Southern California,N,"Ouyu Lan, Xiao Huang, Bill Yuchen Lin, He Jiang, Liyuan Liu and Xiang Ren"
Meta-Reinforced Multi-Domain State Generator for Dialogue Systems,3,dialog,,,China,China Mobile,China Mobile,"Yi Huang, Junlan Feng, Min Hu, Xiaoting Wu, Xiaoyu Du and Shuo Ma"
Adaptive Compression of Word Embeddings,2,word meaning,,,Korea,Artificial Intelligence Research Institute,N,"Yeachan Kim, Kang-Min Kim and SangKeun Lee"
Unsupervised Cross-lingual Representation Learning at Scale,2,text representation; machine translation,,,US,Facebook,Facebook,"Alexis Conneau, Kartikay Khandelwal, Naman Goyal, Vishrav Chaudhary, Guillaume Wenzek, Francisco Guzmán, Edouard Grave, Myle Ott, Luke Zettlemoyer and Veselin Stoyanov"
Neural CRF Model for Sentence Alignment in Text Simplification,3,simplification,,,US,Ohio State University,N,"Chao Jiang, Mounica Maddela, Wuwei Lan, Yang Zhong and Wei Xu"
IMoJIE: Iterative Memory-Based Joint Open Information Extraction,2,information extraction,,,India,Indian Institute of Technology Delhi,N,"Keshav Kolluru, Samarth Aggarwal, Vipul Rathore, Mausam - and Soumen Chakrabarti"
USR: An Unsupervised and Reference Free Evaluation Metric for Dialog Generation,3,dialog,,,US,CMU,N,Shikib Mehri and Maxine Eskenazi
Selective Question Answering under Domain Shift,3,question answering,,,US,Stanford University,N,"Amita Kamath, Robin Jia and Percy Liang"
Moving Down the Long Tail of Word Sense Disambiguation with Gloss Informed Bi-encoders,2,word meaning,,,US,Facebook,Facebook,Terra Blevins and Luke Zettlemoyer
A Graph Auto-encoder Model of Derivational Morphology,2,morphology,,,UK,University of Oxford,N,"Valentin Hofmann, Hinrich Schütze and Janet Pierrehumbert"
A Reinforced Generation of Adversarial Examples for Neural Machine Translation,2,machine translation; robustness,robustness,,China,Nanjing University,N,"Wei Zou, Shujian Huang, Jun Xie, Xinyu Dai and Jiajun Chen"
Hiring Now: A Skill-Aware Multi-Attention Model for Job Posting Generation,4,data-to-text generation; jobs,jobs,,China,Nankai University,N,"Liting Liu, Jie Liu, Wenzheng Zhang, Ziming Chi, Wenxuan Shi and Yalou Huang"
Max-Margin Incremental CCG Parsing,2,syntax parsing,,,UK,University of Edinburgh,N,Miloš Stanojević and Mark Steedman
Paraphrase Augmented Task-Oriented Dialog Generation,3,dialog,,,US,UC Davis,N,"Silin Gao, Yichi Zhang, Zhijian Ou and Zhou Yu"
Conversational Graph Grounded Policy Learning for Open-Domain Conversation Generation,3,dialog,,,China,Harbin Institute of Technology,Baidu,"Jun Xu, Haifeng Wang, Zheng-Yu Niu, Hua Wu, Wanxiang Che and Ting Liu"
Towards Debiasing Sentence Representations,2,bias; text representation,bias,,US,CMU,N,"Paul Pu Liang, Irene Mengze Li, Emily Zheng, Yao Chong Lim, Ruslan Salakhutdinov and Louis-Philippe Morency"
Mind the Trade-off: Debiasing NLU Models without Degrading the In-distribution Performance,2,bias,bias,,Germany,Technische Universitat Darmstadt,N,"Prasetya Ajie Utama, Nafise Sadat Moosavi and Iryna Gurevych"
Screenplay Summarization Using Latent Narrative Structure,4,summarization,,,UK,University of Edinburgh,N,"Pinelopi Papalampidi, Frank Keller, Lea Frermann and Mirella Lapata"
Language (technology) is power: The need to be explicit about NLP harms,4,ethics,ethics,,US,University of Massachusetts Amherst,N,"Su Lin Blodgett, Solon Barocas, Hal Daumé III and Hanna Wallach"
Improving Image Captioning Evaluation by Considering Inter References Variance,3,caption generation,,,Japan,Waseda University,N,"Yanzhi Yi, Hangyu Deng and Jinglu Hu"
How to Ask Good Questions? Try to Leverage Paraphrases,3,question answering,,,China,Peking University,N,"Xin Jia, Wenjie Zhou, Xu Sun and Yunfang Wu"
Do Neural Models Learn Systematicity of Monotonicity Inference in Natural Language?,2,inference,,,Japan,RIKEN,RIKEN,"Hitomi Yanaka, Koji Mineshima, Daisuke Bekki and Kentaro Inui"
Gender in Danger? Evaluating Speech Translation Technology on the MuST-SHE Corpus,3,bias; speech; machine translation,bias,,Italy; Italy,Fondazione Bruno Kessler; Trento,N,"Luisa Bentivogli, Beatrice Savoldi, Matteo Negri, Mattia A. Di Gangi, Roldano Cattoni and Marco Turchi"
Rationalizing Text Matching: Learning Sparse Alignments via Optimal Transport,2,matching,,,US,ASAPP,ASAPP,"Kyle Swanson, Lili Yu and Tao Lei"
Line Graph Enhanced AMR-to-Text Generation with Mix-Order Graph Attention Networks,2,generation,,,China,Shanghai Jiao Tong University,N,"Yanbin Zhao, Lu Chen, Zhi Chen, Ruisheng Cao, Su Zhu and Kai Yu"
Towards Faithful Neural Table-to-Text Generation with Content-Matching Constraints,3,data-to-text generation,,,US,State University of New York at Buffalo,Tencent,"Zhenyi Wang, Xiaoyang Wang, Bang An, Dong Yu and Changyou Chen"
HyperCore: Hyperbolic and Co-graph Representation for Automatic ICD Coding,4,healthcare,healthcare,health and wellbeing,China,Chinese Academy of Sciences,N,"Pengfei Cao, Yubo Chen, Kang Liu, Jun Zhao, Shengping Liu and Weifeng Chong"
MuTual: A Dataset for Multi-Turn Dialogue Reasoning,3,dialog; question answering,,,China,Zhejiang University,Microsoft,"Leyang Cui, Yu Wu, Shujie Liu, Yue Zhang and Ming Zhou"
Relabel the Noise: Joint Extraction of Entities and Relations via Cooperative Multiagents,2,information extraction,,,China,Alibaba,Alibaba,"Daoyuan Chen, Yaliang Li, Kai Lei and Ying Shen"
QuASE: Question-Answer Driven Sentence Encoding,2,text representation,,,US,University of Pennsylvania,N,"Hangfeng He, Qiang Ning and Dan Roth"
NILE : Natural Language Inference with Faithful Natural Language Explanations,3,NLI; interpretability,interpretability,,India,Indian Institute of Science,N,Sawan Kumar and Partha Talukdar
A Prioritization Model for Suicidality Risk Assessment,4,mental healthcare,mental healthcare,health and wellbeing,UK,University of Maryland,N,"Han-Chin Shing, Philip Resnik and Douglas Oard"
Human Attention Maps for Text Classification: Do Humans and Neural Networks Focus on the Same Words?,3,sentiment and argument analysis; interpretability,interpretability,,US,Worcester Polytechnic Institute,N,"Cansu Sen, Thomas Hartvigsen, Biao Yin, Xiangnan Kong and Elke Rundensteiner"
S2ORC: The Semantic Scholar Open Research Corpus,2,information extraction,,,US,Allen Institute for Artificial Intelligence,N,"Kyle Lo, Lucy Wang, Mark Neumann, Rodney Kinney and Daniel Weld"
Knowledge Distillation for Multilingual Unsupervised Neural Machine Translation,3,machine translation,,,Japan,NICT,N,"Haipeng Sun, Rui Wang, Kehai Chen, Masao Utiyama, Eiichiro Sumita and Tiejun Zhao"
A Multitask Learning Approach for Diacritic Restoration,2,low-resource,low-resource,,US,Amazon,Amazon,"Sawsan Alqahtani, Ajay Mishra and Mona Diab"
The Cascade Transformer: an Application for Efficient Answer Sentence Selection,3,question answering,,,US,Amazon,Amazon,Luca Soldaini and Alessandro Moschitti
Probabilistically Masked Language Model Capable of Autoregressive Generation in Arbitrary Word Order,2,language modeling,,,China,Huawei,Huawei,"Yi Liao, Xin Jiang and Qun Liu"
2kenize: Tying Subword Sequences for Chinese Script Conversion,2,machine translation,,,Hong Kong,Independent Researcher,N,Pranav A and Isabelle Augenstein
Optimizing the Factual Correctness of a Summary: A Study of Summarizing Radiology Reports,4,summarization; misinformation; healthcare,misinformation; healthcare,health and wellbeing,US,Stanford University,N,"Yuhao Zhang, Derek Merck, Emily Tsai, Christopher D. Manning and Curtis Langlotz"
How Accents Confound: Probing for Accent Information in End-to-End Speech Recognition Systems,2,speech; low-resource,low-resource,,India,IIT Bombay,N,Archiki Prasad and Preethi Jyothi
Not All Claims are Created Equal: Choosing the Right Statistical Approach to Assess Hypotheses,2,metric,,,US,Indiana University,N,"Erfan Sadeqi Azer, Daniel Khashabi, Ashish Sabharwal and Dan Roth"
Can You Put it All Together: Evaluating Conversational Agents’ Ability to Blend Skills,3,dialog,,,US,Facebook,Facebook,"Eric Michael Smith, Mary Williamson, Kurt Shuster, Jason Weston and Y-Lan Boureau"
Detecting Perceived Emotions in Hurricane Disasters,4,emotion detection; social media,,,US,The University of Texas at Austin,N,"Shrey Desai, Cornelia Caragea and Junyi Jessy Li"
AMR Parsing via Graph-Sequence Iterative Inference,2,semantic parsing,,,Hong Kong,The Chinese University of Hong Kong,N,Deng Cai and Wai Lam
Predicting the Growth of Morphological Families from Social and Linguistic Factors,2,morphology,,,UK,University of Oxford,N,"Valentin Hofmann, Janet Pierrehumbert and Hinrich Schütze"
Guiding Variational Response Generator to Exploit Persona,3,dialog,,,China,Tencent,Tencent,"Bowen Wu, Mengyuan Li, Zongsheng Wang, Yifu Chen, Derek F. Wong, Qihang Feng, Junhong Huang and Baoxun Wang"
Probing for referential information in language models,2,language modeling; interpretability,,,Spain,Universitat Pompeu Fabra,N,"Ionut-Teodor Sorodoc, Kristina Gulordava and Gemma Boleda"
FastBERT: a Self-distilling BERT with Adaptive Inference Time,2,model architecture,,,China,Peking University,N,"Weijie Liu, Peng Zhou, Zhiruo Wang, Zhe Zhao, Haotang Deng and QI JU"
Calibrating Structured Output Predictors for Natural Language Processing,2,information extraction,,,US,University of Massachusetts Amherst,N,Abhyuday Jagannatha and Hong Yu
How Does Selective Mechanism Improve Self-Attention Networks?,2,model architecture,,,China,Harbin Institute of Technology,Tencent,"Xinwei Geng, Longyue Wang, Xing Wang, Bing Qin, Ting Liu and Zhaopeng Tu"
A Girl Has A Name: Detecting Authorship Obfuscation,3,authorship identification,,,US,The University of Iowa,N,"Asad Mahmood, Zubair Shafiq and Padmini Srinivasan"
Expertise Style Transfer: A New Task Towards Better Communication between Experts and Laymen,3,style transfer; healthcare,healthcare,health and wellbeing,Singapore,NUS,N,"Yixin Cao, Ruihao Shui, Liangming Pan, Min-Yen Kan, Zhiyuan Liu and Tat-Seng Chua"
What Question Answering can Learn from Trivia Nerds,2,question answering,,,US,University of Maryland,Google,Jordan Boyd-Graber and Benjamin Börschinger
CorefQA: Coreference Resolution as Query-based Span Prediction,2,coreference,,,China,Shannon AI,Shannon AI,"Wei Wu, Fei Wang, Arianna Yuan, Fei Wu and Jiwei Li"
CDL: Curriculum Dual Learning for Emotion-Controllable Response Generation,3,dialog,,,China,Chinese Academy of Sciences,N,Lei Shen and Yang Feng
Robust Encodings: A Framework for Combating Adversarial Typos,2,robustness,,,US,Stanford University,N,"Erik Jones, Robin Jia, Aditi Raghunathan and Percy Liang"
Unsupervised Alignment-based Iterative Evidence Retrieval for Multi-hop Question Answering,3,question answering,,,US,University of Arizona,N,"Vikas Yadav, Steven Bethard and Mihai Surdeanu"
Investigating Word-Class Distributions in Word Vector Spaces,2,word meaning,,,Japan,Nagoya University,N,Ryohei Sasano and Anna Korhonen
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
