paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,Stage,track,Social Good Topics at ACL 2020,UN 6 goals,country of the first author,affiliaton of the first author,if first author is supported by companies,author
A Monolingual Approach to Contextualized Word Embeddings for Mid-Resource Languages,2,low-resource; word meaning,,,France; France,INRIA; Sorbonne Université,N,"Pedro Javier Ortiz Su√°rez, Laurent Romary and Beno√Æt Sagot"
Beyond Possession Existence: Duration and Co-Possession,4,semantic parsing,,,US,University of North Texas,Thomson Reuters,"Dhivya Chinnappa, Srikala Murugan and Eduardo Blanco"
Grounding Conversations with Improvised Dialogues,3,dialog; language grounding,,,US,University of Southern California,N,Hyundong Cho and Jonathan May
Improving Segmentation for Technical Support Problems,3,segmentation,,,India,ABV-IIITM,IBM,Kushal Chauhan and Abhirut Gupta
Don‚Äôt Stop Pretraining: Adapt Language Models to Domains and Tasks,2,model architecture; greenNLP,,,US,Allen Institute for Artificial Intelligence,N,"Suchin Gururangan, Ana Marasoviƒá, Swabha Swayamdipta, Kyle Lo, Iz Beltagy, Doug Downey and Noah A. Smith"
KinGDOM: Knowledge-Guided DOMain adaptation for sentiment analysis,3; 4,sentiment and argument analysis,,,Singapore,Singapore University of Technology and Design,N,"Deepanway Ghosal, Devamanyu Hazarika, Abhinaba Roy, Navonil Majumder, Rada Mihalcea and Soujanya Poria"
Taxonomy Construction of Unseen Domains via Graph-based Cross-Domain Knowledge Transfer,2,knowledge graph,,,US,University of Connecticut,N,"Chao Shang, Sarthak Dash, Md Faisal Mahbub Chowdhury, Nandana Mihindukulasooriya and Alfio Gliozzo"
Improving Multi-hop Question Answering over Knowledge Graphs using Knowledge Base Embeddings,3;4,question answering; knowledge graph,,,India,Indian Institute of Science,N,"Apoorv Saxena, Aditay Tripathi and Partha Talukdar"
Leveraging Graph to Improve Abstractive Multi-Document Summarization,3;4,summarization,,,China,Baidu,Baidu,"Wei Li, Xinyan Xiao, Jiachen Liu, Hua Wu, Haifeng Wang and Junping Du"
Explicit Semantic Decomposition for Definition Generation,3,data-to-text generation,,,China,Nanjing University,N,"Jiahuan Li, Yu Bao, Shujian Huang, Xinyu Dai and Jiajun Chen"
Fast and Accurate Deep Bidirectional Language Representations for Unsupervised Learning,2,model architecture,,,Korea,Seoul National University,N,"Joongbo Shin, Yoonhyung Lee, Seunghyun Yoon and Kyomin Jung"
Translationese as a Language in ‚ÄúMultilingual‚Äù NMT,3;4,machine translation,,,US,University of Rochester,Google,"Parker Riley, Isaac Caswell, Markus Freitag and David Grangier"
Pretraining with Contrastive Sentence Objectives Improves Discourse Performance of Language Models,2,model architecture,,,US,Google,Google,"Dan Iter, Kelvin Guu, Larry Lansing and Dan Jurafsky"
Zero-shot Text Classification via Reinforced Self-training,3,sentiment and argument analysis,,,China,Zhejiang University,N,"Zhiquan Ye, Yuxia Geng, Jiaoyan Chen, Jingmin Chen, Xiaoxiao Xu, Suhang Zheng, Feng Wang, Jun Zhang and Huajun Chen"
Hierarchical Entity Typing via Multi-level Learning to Rank,2,information extraction; knowledge graph,,,US,Johns Hopkins University,N,"Tongfei Chen, Yunmo Chen and Benjamin Van Durme"
GLUECoS: An Evaluation Benchmark for Code-Switched NLP,2,machine translation,,,India,Microsoft,Microsoft,"Simran Khanuja, Sandipan Dandapat, Anirudh Srinivasan, Sunayana Sitaram and Monojit Choudhury"
Semi-Supervised Semantic Dependency Parsing Using CRF Autoencoders,2,syntax parsing; semantic parsing,,,China,ShanghaiTech University,N,"Zixia Jia, Youmi Ma, Jiong Cai and Kewei Tu"
Multiscale Collaborative Deep Models for Neural Machine Translation,3,machine translation,,,China,Chinese Academy of Sciences,Alibaba,"Xiangpeng Wei, Heng Yu, Yue Hu, Yue Zhang, Rongxiang Weng and Weihua Luo"
NAT: Noise-Aware Training for Robust Neural Sequence Labeling,2,semantic parsing,,,Germany,Sankt Augustin University,N,"Marcin Namysl, Sven Behnke and Joachim K√∂hler"
Highway Transformer: Self-Gating Enhanced Self-Attentive Networks,2,model architecture,,,China,Chinese Academy of Sciences,N,"Yekun Chai, Shuo Jin and Xinwen Hou"
Cross-Lingual Semantic Role Labeling with High-Quality Translated Training Corpus,2,semantic parsing,,,China,Wuhan University,N,"Hao Fei, Meishan Zhang and Donghong Ji"
Improving Transformer Models by Reordering their Sublayers,2,model architecture,,,US,UW,N,"Ofir Press, Noah A. Smith and Omer Levy"
ESPRIT: Explaining Solutions to Physical Reasoning Tasks,3,interpretability; inference,,,US; US,Salesforce; Yale University,Salesforce,"Nazneen Fatema Rajani, Rui Zhang, Yi Chern Tan, Stephan Zheng, Jeremy Weiss, Aadit Vyas, Abhijit Gupta, Caiming Xiong, Richard Socher and Dragomir Radev"
ERASER: A Benchmark to Evaluate Rationalized NLP Models,2; 3,interpretability,interpretability,,US; US; US,Northeastern University; Northeastern University; Salesforce,Salesforce,"Jay DeYoung, Sarthak Jain, Nazneen Fatema Rajani, Eric Lehman, Caiming Xiong, Richard Socher and Byron C. Wallace"
BLEURT: Learning Robust Metrics for Text Generation,2,metric,,,US,Google,Google,"Thibault Sellam, Dipanjan Das and Ankur Parikh"
Gender Gap in Natural Language Processing Research: Disparities in Authorship and Citations,2,bias,bias,equality,Canada,National Research Concil Canada,N,Saif M. Mohammad
BabyWalk: Going Farther in Vision-and-Language Navigation by Taking Baby Steps,3,language grounding,,,Canada; US,Simon Fraser University; University of Southern California,N,"Wang Zhu, Hexiang Hu, Jiacheng Chen, Zhiwei Deng, Vihan Jain, Eugene Ie and Fei Sha"
Review-based Question Generation with Adaptive Instance Transfer and Augmentation,2,question answering,,,Hong Kong,The Chinese University of Hong Kong,Alibaba,"Qian Yu, Lidong Bing, Qiong Zhang, Wai Lam and Luo Si"
On the Encoder-Decoder Incompatibility in Variational Text Modeling and Beyond,2,model architecture,,,China,Tsinghua University,N,"Chen Wu, Prince Zizhuang Wang and William Yang Wang"
One Size Does Not Fit All: Generating and Evaluating Variable Number of Keyphrases,3,topic modeling,,,Canada; Canada; US,Microsoft; Microsoft; University of Pittsburgh,Microsoft,"Xingdi Yuan, Tong Wang, Rui Meng, Khushboo Thaker, Peter Brusilovsky, Daqing He and Adam Trischler"
Structure-Level Knowledge Distillation For Multilingual Sequence Labeling,2,information extraction,,,China,ShanghaiTech University,N,"Xinyu Wang, Yong Jiang, Nguyen Bach, Tao Wang, Fei Huang and Kewei Tu"
Phonetic and Visual Priors for Decipherment of Informal Romanization,3,word transformation,,,US,CMU,N,"Maria Ryskina, Matthew R. Gormley and Taylor Berg-Kirkpatrick"
FEQA: A Question Answering Evaluation Framework for Faithfulness Assessment in Abstractive Summarization,3,summarization; misinformation,misinformation,,US,Cornell University,Amazon,"Esin Durmus, He He and Mona Diab"
Sources of Transfer in Multilingual Named Entity Recognition,2,information extraction,,,US,Johns Hopkins University,N,"David Mueller, Nicholas Andrews and Mark Dredze"
